,product name,ratings,reviews,helpful,date,,asin,target,text
0,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",4,"

  I've been ordering these turmeric pills for a while and had been satisfied with my purchase--until now.  I have some pills left from a previous order. You can smell the turmeric and the color is orange. I just discovered the other night that my recent purchase looks nothing like turmeric and has no smell.  I don't know what I have been putting in my body. I opened a capsule and there is still no smell. I compared the capsules side by side and there is an obvious difference.  I will no longer purchase turmeric from Natures nutrition because the quality of the product has declined.  I have included a photo.. see for yourself.

","2,015","September 19, 2018",,B06X9T1Y3F,p,"

  I've been ordering these turmeric pills for a while and had been satisfied with my purchase--until now.  I have some pills left from a previous order. You can smell the turmeric and the color is orange. I just discovered the other night that my recent purchase looks nothing like turmeric and has no smell.  I don't know what I have been putting in my body. I opened a capsule and there is still no smell. I compared the capsules side by side and there is an obvious difference.  I will no longer purchase turmeric from Natures nutrition because the quality of the product has declined.  I have included a photo.. see for yourself.

"
1,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",5,"

  Was shocked to find white capsules mixed in with the expected turmeric?  What the heck?  Scared to take any of them, now!!!

","1,296","May 16, 2019",,B06X9T1Y3F,p,"

  Was shocked to find white capsules mixed in with the expected turmeric?  What the heck?  Scared to take any of them, now!!!

"
2,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",1,"

  Let me begin with that I have a degree in biology and I also took a lot of courses in college about nutrition, biology of weight loss and obesity, and etc. One of the topics we had was about turmeric (curcumin). The benefits were enormous. We went over a few studies which showed that it is a natural fat blocker which can help with weight loss by decreasing inflammation in the body. Recently I started to research the best affordable ""curcumin product"" on the market since I was diagnosed with sacroiliitis. It doesn't really matter what brand you buy, but it is important to look at the ingredients and the amount of the product. So I am very pleased with the ingredients and the amount of the curcumin (keep in mind you can buy turmeric for $2, one tablespoon of turmeric contains about 140 mg of curcumin, but I hate the powder). I haven't finished the bottle yet, but I am feeling less inflammation and pain. BUT I'm also following a strict eating which means I eliminate all pro-inflammatory foods such as bread, flour, sweets, sugars and etc.So far so good. Keep everybody posted.

",836,"August 18, 2018",,B06X9T1Y3F,n,"

  Let me begin with that I have a degree in biology and I also took a lot of courses in college about nutrition, biology of weight loss and obesity, and etc. One of the topics we had was about turmeric (curcumin). The benefits were enormous. We went over a few studies which showed that it is a natural fat blocker which can help with weight loss by decreasing inflammation in the body. Recently I started to research the best affordable ""curcumin product"" on the market since I was diagnosed with sacroiliitis. It doesn't really matter what brand you buy, but it is important to look at the ingredients and the amount of the product. So I am very pleased with the ingredients and the amount of the curcumin (keep in mind you can buy turmeric for $2, one tablespoon of turmeric contains about 140 mg of curcumin, but I hate the powder). I haven't finished the bottle yet, but I am feeling less inflammation and pain. BUT I'm also following a strict eating which means I eliminate all pro-inflammatory foods such as bread, flour, sweets, sugars and etc.So far so good. Keep everybody posted.

"
3,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",1,"

  It worked get for arthritis but my husband had taken it for about 1 1/2 2 weeks ended up in the hospital with blood sugars over 800 and they said he was diabetic since then he had quit taken it and he is now not taken any diabetic medicine at all  and no longer a diabetic so if u take this product just be careful I hope what happened to my husband doesn’t happen to anyone else taking this vitamin

",659,"October 5, 2018",,B06X9T1Y3F,n,"

  It worked get for arthritis but my husband had taken it for about 1 1/2 2 weeks ended up in the hospital with blood sugars over 800 and they said he was diabetic since then he had quit taken it and he is now not taken any diabetic medicine at all  and no longer a diabetic so if u take this product just be careful I hope what happened to my husband doesn’t happen to anyone else taking this vitamin

"
4,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",1,"

  I took only 2 capsules instead of the 3 reccomended, and only a few days into it got nausea and horrible diarrhea that lasted days. Do not reccomend.

",515,"May 1, 2019",,B06X9T1Y3F,n,"

  I took only 2 capsules instead of the 3 reccomended, and only a few days into it got nausea and horrible diarrhea that lasted days. Do not reccomend.

"
5,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",5,"

  I bought these capsules as I thought they would be easy to swallow and would have no taste-- but instead they reek like no other pills I have smelled before, and they taste even worse.  YUCK!  Luckily I found some other Turmeric caplets at home and found that they don't smell nor taste badly.  I won't be taking these at all.

",437,"December 18, 2018",,B06X9T1Y3F,p,"

  I bought these capsules as I thought they would be easy to swallow and would have no taste-- but instead they reek like no other pills I have smelled before, and they taste even worse.  YUCK!  Luckily I found some other Turmeric caplets at home and found that they don't smell nor taste badly.  I won't be taking these at all.

"
6,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",1,"

  These made me gain 25 pound in just one week, DO NOT BUY THESE!!!

",450,"November 11, 2018",,B06X9T1Y3F,n,"

  These made me gain 25 pound in just one week, DO NOT BUY THESE!!!

"
7,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",1,"

  I ordered this supplement due to its benefits with helping with inflammation.  Turmeric is known as an all natural anti inflammatory supplement and I have noticed its benefits while taking with minor aches and pains. I lift weights regularly and develop some pain at times and I have worked this supplement into my daily routine and noticed the difference. I ordered this supplement due to the addition of BioPerine which is supposed to help your blood absord the turmeric more effectively. The only draw back from these pills are you occasionally still get the turmeric taste which could be unpleasant. The pills are easy to take and I would recommend this product. If you found this review helpful please click yes.

","1,338","May 10, 2017",,B06X9T1Y3F,n,"

  I ordered this supplement due to its benefits with helping with inflammation.  Turmeric is known as an all natural anti inflammatory supplement and I have noticed its benefits while taking with minor aches and pains. I lift weights regularly and develop some pain at times and I have worked this supplement into my daily routine and noticed the difference. I ordered this supplement due to the addition of BioPerine which is supposed to help your blood absord the turmeric more effectively. The only draw back from these pills are you occasionally still get the turmeric taste which could be unpleasant. The pills are easy to take and I would recommend this product. If you found this review helpful please click yes.

"
8,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",1,"

  The turmeric supplement is good...agrees with me...im using it with my holistic naturopathic protocol to fight my cancer.  10 months since diagnosis. ..STILL HERE and regaining my health every day!

",800,"July 2, 2017",,B06X9T1Y3F,n,"

  The turmeric supplement is good...agrees with me...im using it with my holistic naturopathic protocol to fight my cancer.  10 months since diagnosis. ..STILL HERE and regaining my health every day!

"
9,"Turmeric Curcumin with BioPerine 95% Curcuminoids 1950mg with Black Pepper for Best Absorption, Made in USA, Natural Immune Support, Turmeric Supplement Pills by Natures Nutrition - 120 Capsules",1,"

  This is a good product.  It contains the requisite black pepper derivative which is essential for curcumin absorption.  The trick is to take the pills with something that contains fat, for curcumin is soluble in fat and not in water.  For instance, I drink a cup of morning tea with a lot of cream in it and swallow the curcumin as I enjoy this creamy cuppa.  That done, and if taken faithfully, you should begin to feel the beginnings of relief from inflammatory processes in your body in about 2 weeks.

",233,"June 8, 2018",,B06X9T1Y3F,n,"

  This is a good product.  It contains the requisite black pepper derivative which is essential for curcumin absorption.  The trick is to take the pills with something that contains fat, for curcumin is soluble in fat and not in water.  For instance, I drink a cup of morning tea with a lot of cream in it and swallow the curcumin as I enjoy this creamy cuppa.  That done, and if taken faithfully, you should begin to feel the beginnings of relief from inflammatory processes in your body in about 2 weeks.

"
