,asin,product name,ratings,reviews,helpful,date,Unnamed: 6,target,text
0,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",4,"

  These were exactly what I was looking for! I was using disposable and they were twice as hot. They are super comfortable and soft and dip at the cheekbones like I wanted.

",371,11-Jun-20,,p,"

  These were exactly what I was looking for! I was using disposable and they were twice as hot. They are super comfortable and soft and dip at the cheekbones like I wanted.

"
1,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  These are the best masks I’ve found! I ordered the XL size to fit my ample dome. I have a HUGE face and my beard only exacerbates things. Hat size 7 5/8”, beard is usually 5-6” off my chin. How HUGE is your face if these masks are too small?  You must be a cartoon or some sort of animated caricatures. These masks would fit Jay Leno’s chin! These masks would cover Adrian Brodie’s big ol’ honker! These masks would even fit OJ Simpson’s gargantuan noggin! Great buy, and I would buy again!

",206,9-Jul-20,,p,"

  These are the best masks I’ve found! I ordered the XL size to fit my ample dome. I have a HUGE face and my beard only exacerbates things. Hat size 7 5/8”, beard is usually 5-6” off my chin. How HUGE is your face if these masks are too small?  You must be a cartoon or some sort of animated caricatures. These masks would fit Jay Leno’s chin! These masks would cover Adrian Brodie’s big ol’ honker! These masks would even fit OJ Simpson’s gargantuan noggin! Great buy, and I would buy again!

"
2,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",1,"

  I’ve been through about 6 masks now and I’ve FINALLY found comfort and breathability. If I have to wear a mask, it’s got to be comfortable! I’m an essential worker in a warehouse but also am out and about quite a bit and I needed a reusable and washable safety mask. First of all, this mask is so soft, and secondly it is 3 PLY which gives great protection as well...BUT the real value prop with this mask is the ear loops. The loops that come off this mask are circular and elastic and very comfortable. The previous masks I used had square shaped elastic bands that went behind my ears which were incredibly uncomfortable and gave me Dumbo ears (not a good look) I also like that it’s a three pack. I did purchase an XL because I have a beard and a larger face, it’s nice they have a size chart in their images and a few different sizes, this one is good you won’t be disappointed!

",201,3-Jun-20,,n,"

  I’ve been through about 6 masks now and I’ve FINALLY found comfort and breathability. If I have to wear a mask, it’s got to be comfortable! I’m an essential worker in a warehouse but also am out and about quite a bit and I needed a reusable and washable safety mask. First of all, this mask is so soft, and secondly it is 3 PLY which gives great protection as well...BUT the real value prop with this mask is the ear loops. The loops that come off this mask are circular and elastic and very comfortable. The previous masks I used had square shaped elastic bands that went behind my ears which were incredibly uncomfortable and gave me Dumbo ears (not a good look) I also like that it’s a three pack. I did purchase an XL because I have a beard and a larger face, it’s nice they have a size chart in their images and a few different sizes, this one is good you won’t be disappointed!

"
3,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  I like that these masks fit really comfortably on my face. I don’t feel like it's squishing my nose, but it also has a decently tight fit. It also doesn’t pull on my ears like a previous one that I had. I know it isn’t the time to care about these things...but I looked seriously ridiculous with my ears poking out! They are made of really nice 3 PLY fabric, very happy with this .

",205,2-Jun-20,,p,"

  I like that these masks fit really comfortably on my face. I don’t feel like it's squishing my nose, but it also has a decently tight fit. It also doesn’t pull on my ears like a previous one that I had. I know it isn’t the time to care about these things...but I looked seriously ridiculous with my ears poking out! They are made of really nice 3 PLY fabric, very happy with this .

"
4,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  I have a pretty fat face, so have trouble buying one-size-fits-all masks, but these fit very well. I can talk or open my mouth a normal a little without it sliding off my nose or chin. The tapered nose fits well and doesnt leave a huge gap (I also have a honker of a nose). The fabric is soft and comfortable, doesnt feel suffocating. I washed in a lingerie bag on warm, and then tumble-dried on medium and there was no shrinkage or damage.  No unpleasant smell or feel. Would buy again.

",185,26-Jun-20,,p,"

  I have a pretty fat face, so have trouble buying one-size-fits-all masks, but these fit very well. I can talk or open my mouth a normal a little without it sliding off my nose or chin. The tapered nose fits well and doesnt leave a huge gap (I also have a honker of a nose). The fabric is soft and comfortable, doesnt feel suffocating. I washed in a lingerie bag on warm, and then tumble-dried on medium and there was no shrinkage or damage.  No unpleasant smell or feel. Would buy again.

"
5,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  I have a big head, and usually need an XL hat. These masks fit perfectly and feel very nice. Even if you head is a little smaller these will fit fine and not kill your ears. Very recommended.

",135,27-Jun-20,,p,"

  I have a big head, and usually need an XL hat. These masks fit perfectly and feel very nice. Even if you head is a little smaller these will fit fine and not kill your ears. Very recommended.

"
6,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  These are the pictures of the extra large size. I hope this help to determine the correct size to order. The mask cover my nose and mouth perfectly. The elastic loops keep it snugged placed. The loops are not adjustable. The inside and outside fabrics are soft and lint free.

",120,6-Jul-20,,p,"

  These are the pictures of the extra large size. I hope this help to determine the correct size to order. The mask cover my nose and mouth perfectly. The elastic loops keep it snugged placed. The loops are not adjustable. The inside and outside fabrics are soft and lint free.

"
7,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  Bought these for my husband (pictured).  We have been looking for something to fit his face.  He said they have minimal fogging effect in his glass.  He’s happy with the product.

",119,28-Jun-20,,p,"

  Bought these for my husband (pictured).  We have been looking for something to fit his face.  He said they have minimal fogging effect in his glass.  He’s happy with the product.

"
8,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  Very flexible. The material is breathable enough that I don't feel like I am suffocating. The shape is also really good and it fits over my face very well. I definitely recommend washing them first thing, it helps them fit better and I found they can shrink a bit for a tighter fit on the face.They also are easy to pack up and take on the go and I like the color. It's very simple and sleek and is super useful.

",108,17-Jun-20,,p,"

  Very flexible. The material is breathable enough that I don't feel like I am suffocating. The shape is also really good and it fits over my face very well. I definitely recommend washing them first thing, it helps them fit better and I found they can shrink a bit for a tighter fit on the face.They also are easy to pack up and take on the go and I like the color. It's very simple and sleek and is super useful.

"
9,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",5,"

  These mask are awesome and they are made really well... these will be great for when I go back to work are I need to go to the grocery store

",93,8-Jun-20,,p,"

  These mask are awesome and they are made really well... these will be great for when I go back to work are I need to go to the grocery store

"
