,product name,ratings,reviews,helpful,date,,asin,target,text
0,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,"

  This product exceeded my expectations! I have no complaints about this cologne. It smells fresh, vibrant, sporty, and very summery. This cologne is everything I wanted, and then some! I actually went from using Versace cologne to this masterpiece, and I will not go back! I bought this for $17, so naturally I was a little skeptical. But after trying it out for myself, I couldn't be any happier. This is a great every day cologne that can be worn casually or formally, it's that versatile! I will happily buy this again!

",213,"July 13, 2018",,B000P22TIY,p,"

  This product exceeded my expectations! I have no complaints about this cologne. It smells fresh, vibrant, sporty, and very summery. This cologne is everything I wanted, and then some! I actually went from using Versace cologne to this masterpiece, and I will not go back! I bought this for $17, so naturally I was a little skeptical. But after trying it out for myself, I couldn't be any happier. This is a great every day cologne that can be worn casually or formally, it's that versatile! I will happily buy this again!

"
1,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,"

  This is a terrible knock off.  When I just ordered this and received it I immediately compared it to the bottle I got at Dillard's  And right away I noticed the Are different so I thought maybe not ukka changed up the style a little bit because it has been awhile since I purchased this Cologne. So I sprayed it on a shirt to compare the smell, and the version I just bought here on Amazon smelt like rubbing alcohol with a little bit of Cologne scent mixed in..  All I can say is don't waste your time with this crapp..  And I only gave it one star because Amazon made me in order to post this review..

",202,"June 27, 2018",,B000P22TIY,p,"

  This is a terrible knock off.  When I just ordered this and received it I immediately compared it to the bottle I got at Dillard's  And right away I noticed the Are different so I thought maybe not ukka changed up the style a little bit because it has been awhile since I purchased this Cologne. So I sprayed it on a shirt to compare the smell, and the version I just bought here on Amazon smelt like rubbing alcohol with a little bit of Cologne scent mixed in..  All I can say is don't waste your time with this crapp..  And I only gave it one star because Amazon made me in order to post this review..

"
2,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,"

  That's right, it smells kind of like a bowl of honeydew and cantaloupe at a Jamaican all-inclusive resort. Kind of sweet and fruity. Not very spicy. Not leathery or musky or dark or funky. It smells pretty decent. Some people will love it, and I doubt many will hate it. I think it smells fine. It's relatively powerful and long lasting. Unless you want to be smelled in a 10 foot radius and leave a cloud of scent in your wake, a single spray is fine and lasts all day.

",146,"October 5, 2017",,B000P22TIY,n,"

  That's right, it smells kind of like a bowl of honeydew and cantaloupe at a Jamaican all-inclusive resort. Kind of sweet and fruity. Not very spicy. Not leathery or musky or dark or funky. It smells pretty decent. Some people will love it, and I doubt many will hate it. I think it smells fine. It's relatively powerful and long lasting. Unless you want to be smelled in a 10 foot radius and leave a cloud of scent in your wake, a single spray is fine and lasts all day.

"
3,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,"

  I was told by a friend this Cologne  smells very good so I got it for my Mans birthday...  Well I got and it's a fake it smells so bad!  Had my friend bring her Mans bottle over just to double check and it's definitely  a fake.  So disappointed!  Don't Buy!

",226,"November 24, 2015",,B000P22TIY,p,"

  I was told by a friend this Cologne  smells very good so I got it for my Mans birthday...  Well I got and it's a fake it smells so bad!  Had my friend bring her Mans bottle over just to double check and it's definitely  a fake.  So disappointed!  Don't Buy!

"
4,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,"

  So originally i felt sketchy on ordering this as most may be, due to that you're not really sure how the item will turn out. But this has exceeded my expectations, it was placed in fantastic packaging and arrived flawlessly. However all other stuff aside, the actual cologne was incredible, the scent is hard to explain however its very sweet and refreshing. When applying it, it wasnt extremely strong like some however still is definitely an eye-drawing type of cologne, it has one of those smells which isnt artificial and cheap like axe but instead gives a lot of higher quality vibes. The scent lasts for quite a while ive noticed, with a few sprays youre good to go, and if youre trying to catch the attention of another, it will definitely increase your odds. Concluding with it all i would absolutely give this 5 stars, i definitely recommend it as its certainly worth the buy

",86,"July 19, 2018",,B000P22TIY,n,"

  So originally i felt sketchy on ordering this as most may be, due to that you're not really sure how the item will turn out. But this has exceeded my expectations, it was placed in fantastic packaging and arrived flawlessly. However all other stuff aside, the actual cologne was incredible, the scent is hard to explain however its very sweet and refreshing. When applying it, it wasnt extremely strong like some however still is definitely an eye-drawing type of cologne, it has one of those smells which isnt artificial and cheap like axe but instead gives a lot of higher quality vibes. The scent lasts for quite a while ive noticed, with a few sprays youre good to go, and if youre trying to catch the attention of another, it will definitely increase your odds. Concluding with it all i would absolutely give this 5 stars, i definitely recommend it as its certainly worth the buy

"
5,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,"

  Smells great, for about 10 minutes. Then I had no idea it was still on me. Seems to work better if I spray it on fabric, like my shirts. Ideally my undershirts. Then I can smell it after awhile. But after a shower, direct to skin, I can barely smell it 30 seconds after applying. I ended up having to use 8-10 sprays to even get the aroma.

",62,"August 13, 2018",,B000P22TIY,p,"

  Smells great, for about 10 minutes. Then I had no idea it was still on me. Seems to work better if I spray it on fabric, like my shirts. Ideally my undershirts. Then I can smell it after awhile. But after a shower, direct to skin, I can barely smell it 30 seconds after applying. I ended up having to use 8-10 sprays to even get the aroma.

"
6,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,"

  I'm extremely pleased with the cologne scent. If this review was based solely on the smell, it would have 5 stars. However, although the cologne arrived in its package and was still wrapped, the entire cap was smashed into four pieces. It didn't affect the cologne or the ease of use, but I find it important that you receive what you payed for without any damage. The cologne has a great smell, and it lasts about half a day. I would definitely recommend it, but know that the bottle may not be in one piece.

",61,"January 21, 2018",,B000P22TIY,n,"

  I'm extremely pleased with the cologne scent. If this review was based solely on the smell, it would have 5 stars. However, although the cologne arrived in its package and was still wrapped, the entire cap was smashed into four pieces. It didn't affect the cologne or the ease of use, but I find it important that you receive what you payed for without any damage. The cologne has a great smell, and it lasts about half a day. I would definitely recommend it, but know that the bottle may not be in one piece.

"
7,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,"

  This smells great and purchased at a great price! I made the wrong purchase, however, my boyfriend loved this stuf anyways. So I just desided to keep this rather than go through an exchange or refund process. The smell does wear off fast, but you get what you pay for thats for sure. But it does last for a couple hours and it does in fact smell great. So for the price I would recommend this to others.

",56,"February 17, 2017",,B000P22TIY,p,"

  This smells great and purchased at a great price! I made the wrong purchase, however, my boyfriend loved this stuf anyways. So I just desided to keep this rather than go through an exchange or refund process. The smell does wear off fast, but you get what you pay for thats for sure. But it does last for a couple hours and it does in fact smell great. So for the price I would recommend this to others.

"
8,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",2,"

  I’ve ordered this cologne off of amazon a few times and I have never been disappointed. I know how it smells and how strong it’s supposed to be. Unfortunately this recent order was a rip off. The cologne smells the same, but is VERY faint. As soon as I spray it a minute later I can’t detect it. It takes a lot more sprays and the cologne is running out quickly. Amazon seriously needs to reconsider returning or atleast refunding colognes, there are too many knockoffs/diluted products, and it is not fair for customers. If you can ship it to me, you can ship it back.

",19,"October 28, 2018",,B000P22TIY,n,"

  I’ve ordered this cologne off of amazon a few times and I have never been disappointed. I know how it smells and how strong it’s supposed to be. Unfortunately this recent order was a rip off. The cologne smells the same, but is VERY faint. As soon as I spray it a minute later I can’t detect it. It takes a lot more sprays and the cologne is running out quickly. Amazon seriously needs to reconsider returning or atleast refunding colognes, there are too many knockoffs/diluted products, and it is not fair for customers. If you can ship it to me, you can ship it back.

"
9,"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",3,"

  The colony has no smell, it has the smell of pure alcohol, it does not have any aroma, I feel cheated by the seller since the colony has no smell, it is not fair to be dressed in this way and I do not return it because I get more expensive to send the colony, the ideal is to replace a real colony with good smell.

",17,"November 29, 2018",,B000P22TIY,n,"

  The colony has no smell, it has the smell of pure alcohol, it does not have any aroma, I feel cheated by the seller since the colony has no smell, it is not fair to be dressed in this way and I do not return it because I get more expensive to send the colony, the ideal is to replace a real colony with good smell.

"
